PROGRAM,ALTNAME,CONT,CUSTOMER,LAUNCHER,AWDATE,year,$/kg,AWDDATE,LADATE,LAUDATE,DEV,CONDAT,CONDATE,PLAN,NUM,PRIC,INC,TSAT,EACH,GROUNDSTAT,LAUNCH,INSUR,FIN,AWARD,CONTR,GTOMA,DRYMAS,EOLPO,ORBIT,GEO_SLOT,UHF_XPOND,L_XPOND,S_XPOND,C_XPOND,X_XPOND,KU_XPOND,KA_XPOND,TYPEPAYLOD,COVERAGE,LIFE,SER,CONFIG,REFERENCE,REFERENCE2
GSAT-11,,ISRO,India,GSLV-3,09 Jul,2009,"$49,524",07/15/09,11 Dec,12/15/11,29 ,11 Dec,12/15/11,29 ,1 ,,,$104,$104,,,,,$104,,"4,500","2,100","11,000",GEO,074ºE,,,,,,40,,40Ku&Ka 16beams,India,,1-4K,3 axis,,
INTELSAT 21,IS-21,Boeing,INTELSAT,Proton,09 Jul,2009,"$48,446",07/15/09,12 Aug,08/19/12,37 ,,,,3 ,,,$360,$120,,$270,$76,,$706,,"5,984","2,477","11,000",GEO,058ºWest,,,,48,,24,,48C/24Ku-band,,15.0,BS 702B,3 axis,,
Telstar 14R,Estrela 2,SS/Loral,Telesat,Proton,09 Jul,2009,"$64,458",07/15/09,11 May,05/20/11,24 ,11 Sep,09/15/11,26 ,1 ,,,$142,$142,,$90,$28,,$260,,"5,028","2,203","11,000",GEO,063ºW,,,,,,,,46 C/Ku,Brazil Americas N Atlanti,15.0,LS 1300,3 axis,,
Hispasat AG1,Redsat,TAS-OHB,Hispasat,Ariane5ECA,09 Jun,2009,"$136,471",06/15/09,15 Dec,12/15/15,78 ,12 Dec,12/15/12,42 ,1 ,,,$232,$232,,,,,$232,,"3,200","1,700","3,000",GEO,36ºW,,,,,,20,3,24Ku3Ka ARTESII,NE Americas transoceanic,15.0,LuxorGEO,3 axis,,
Intelsat 19,IS-19,SS/Loral,Intelsat,Sea Launch,09 Jun,2009,"$58,730",06/15/09,12 Jun,06/01/12,36 ,11 Sep,09/15/11,27 ,1 ,$130,$18,$148,$148,,$145,$35,,$328,,"5,600","2,520","24,000",GEO,166ºEast,,,,24,,28,,C & Ku Band,,15.0,FS 1300,3 Axis,"""Spate of Solar-array Failures on SS/L Satellites Traced to Mfg Defect"" Space","News, 4 Jan 12"
Jupiter,Echostar 17,SS/Loral,Hughes,Ariane5ECA,09 Jun,2009,"$62,911",06/15/09,12 Jul,07/05/12,37 ,12 Mar,03/15/12,33 ,1 ,,,$220,$220,$28,$115,$37,,$400,,"6,100","3,497","16,100",GEO,107.1ºW,,,,,,,,Ka 100 Gbps 60-beams,USA,15.0,LS-1300,3 Axis,"""Russia's Eximbank To Back ILS Launch Contract Bids"", Space News 21 Mar 11 p 6",
Eutelsat W3C,Eutelsat 16A,ThalesAS,Eutelsat,Long March,09 Mar,2009,"$65,098",03/15/09,11 Oct,10/07/11,32 ,11 Sep,09/15/11,30 ,1 ,,,$166,$166,,$70,,,$236,,"5,370","2,550","12,000",GEO,007ºE,,,,,,56,,56 Ku-band,Europe,15.0,SB 4000,3 Axis,,
Express AM6,,ISSReTAS,RSCC,Proton,09 May,2009,"$62,319",05/19/09,14 Oct,10/21/14,65 ,12 Aug,08/15/12,36 ,2 ,,,$172,$86,,$150,$48,,$370,,,"1,380","14,000",GEO,053ºE,,2,,14,,44,,14C/44Ku/2L,Europe W Asia,12.0,,3 Axis,"RCSS Orders Two Satellites From Reshetnev-Thales Alenai Space, SpaceNews 5/19/09",
Apstar 7,Apstar 2RR,ThalesAS,Apstar,LM 3B,09 Oct,2009,"$80,915",10/15/09,12 Mar,03/31/12,29 ,12 Feb,02/15/12,28 ,1 ,,,,$184,$3,$68,,,$255,,"5,054","2,274","11,400",GEO,76.5ºE,,,,28,,28,,28C/28Ku-band,China E Asia,15.0,SB4000C2,3 Axis,"""Long March Rocket Delivers Apstar 7 Satellite to Orbit"" Space News 4/9/2012 p.9","128.5 M Euros @ $1.43 = $183.76, $68M for launch"
APstar 7B,,ThalesAS,APT Sat Hold,LM 3B,10 Apr,2010,"$62,083",4/23/10,12 Nov,11/27/12,31 ,12 Jun,06/30/12,26 ,1 ,,,$149,$149,,$67,,,$216,,"5,054","2,400","11,400",GEO,76.5ºE,,,,24,,23,,similar to Apstar 7,China E Asia,15.0,SB4000C2,3 axis,"Space News 3 May 2010, Page 3, APT orders backup satellite from Thales Alenia",112.3 M Euros @ 1.33 = $149 M
Satmex 08,,SS/Loral,Satmex,Proton,10 Apr,2010,"$43,159",04/01/10,13 Mar,03/26/13,35 ,12 Sep,09/30/12,29 ,1 ,,,$100,$100,,$90,$23,,$213,,"5,474","2,317","14,600",GEO,116.8ºW,,,,24,,40,,"64 C=65W, Ku=150W",Latin America,15.0,LS 1300,3 axis,"Space News 12 Apr 10 p. 11 ""Debt-ridden Satmex Puts $2 M down for new Satellite",added funding needed by June 2010
Vinasat 2,,LockMart,Vietnam P&T,ArianeSoyz,10 Apr,2010,"$70,833",04/15/10,12 May,05/15/12,24 ,12 Jun,05/15/12,24 ,1 ,,,$102,$102,,$92,$21,,$215,,"3,200","1,440",,GEO,131.8ºE,,,,,,24,,24 Ku-band,,15.0,,,Ascend Space Intelligence May 2010 P 6,
Inmarsat 5,GlobalXpress,Boeing,Inmarsat,Proton ILS,10 Aug,2010,"$56,022",08/06/10,13 Dec,12/08/13,40 ,13 Oct,10/15/13,38 ,3 ,,,$600,$200,,$471,$129,,"$1,200",,"6,070","3,570","13,800",GEO,"63E,178W",,,,,,,89,80 Ka-band spot beams,"Global from 178ºW, 55ºW",15.0,BS-702HP,3-axis,"""Boeing Wins $600M pact for satellites"", Daily Breeze, 7 Aug, 2010, p. 1","""Inmarsat to invest US$1.2bn in Ka-band network"", Talksatellite, 6 August 2010"
WGS 7,,BoeingSS,USAF,Delta 4,10 Aug,2010,"$60,667",08/23/10,15 Jul,07/24/15,60 ,12 Dec,12/15/15,65 ,1 ,,,,$182,,,,,$182,,"5,987","3,000","11,000",GEO,,,,,,8,,10,X & Ka-band 19 spots,3.6 Gbps throughput,14.0,BS 702HP,3 axis,"""Boeing wins USAF contract to begin work on 7th phase"" Daily Breeze 8/23/10",
Mexsat 1,Centenario,Boeing,SCT Mexico,Proton M,10 Dec,2010,"$93,750",12/19/10,15 May,05/16/15,53 ,15,,,2 ,,,$6,$300,,$180,$75,,$855,,"5,325","3,200","14,000",GEO,113ºW,,X,,,,,,L-band 122 spots 22m refl,"Mexico, $390 M insurance",15.0,702HPGEM,3-axis,"Mexican Satellite Lost as Russian Rocket Fails After Launch, WSJ 16 May 15","ILS Proton Failure Destroys Centenario Satellite, Space News 16 May 15"
Mexsat 2,Morelos 3,Boeing,SCT Mexico,Atlas,10 Dec,2010,"$115,385",12/29/10,15 Oct,10/02/15,57 ,15 Jan,01/15/15,49 ,2 ,,,$600,$300,,$180,$75,,$855,,"5,800","2,600","13,000",GEO,113ºW,,X,,,,,,L-band 122 spots 22m refl,Mexico,15.0,702HPGEM,3 axis,"""With $1B Satellite Order, Mexican Govt Looks to Change Satmex Relationship""","Space News 10Jan11, ""Ex-Im Bank Puts $1.2B Behind 2 Satellite Projects SN 2Aug12"
Mexsat 3,,Orbital,Boeing,Ariane 5,10 Dec,2010,"$75,758",12/29/10,12 Dec,12/15/12,24 ,12 Dec,12/19/12,24 ,1 ,,,$100,$100,,$85,$20,$15,$220,FFP,"2,935","1,320","3,500",GEO,115ºW,,,,12,,12,,12 Each Extended C & Ku,FSS for Mexico,15.0,Star 2.4,3 axis,"""With $1B Satellite Order Mexican Govt Looks to Change Satmex Relationship""",Space News 10 Jan 11 p.1
Tupac Katari,TKSat-1,CAST,Bolivia,LM 3B,10 Dec,2010,"$55,556",12/14/10,13 Dec,12/20/13,36 ,13 Dec,12/15/13,36 ,1 ,,,$130,$130,$50,$80,$23,$17,$300,,"5,200","2,340",,GEO,87.2ºW,,,, 2,,26,2,30 transponder GEO comsat,,,   DFH-3,3 Axis,"China to build Bolivian Satellite, AW&ST 12 Apr 10 P. 22","""Bolivia Orders Chines Telecom Satellite"" Space News 10 Jan 11 p.10"
Amazonas 3,,SS/Loral,Hispasat,Ariane 5,10 Jul,2010,"$53,276",07/08/10,13 Feb,02/07/13,31 ,12 Dec,12/15/12,30 ,1 ,,,$148,$148,,$73,$22,,$243,,"6,200","2,778","14,000",GEO,61ºW,,,,19,,33,9,19C/33Ku/9Ka-band spots,Americas & Europe 16Gbps,15.0,LS1300,3-axis,talk Satellite Weekly Newsletter 9 July 2010,164.8 M Euro Ex-Im Bank loan
Eutelsat 25B,Es'hail,SS/Loral,Eutelsat-ict,Ariane5ECA,10 Jul,2010,"$36,684",07/15/10,13 Aug,08/29/13,37 ,13 Jan,07/15/13,30 ,1 ,,,$104,$104,,$51,$15,,$170,,"6,300","2,835",,GEO,25.5ºE,,,,,,16,7,Ku & Ka-band,MidEast NAfrica Cent Asia,15.0,LS1300,3 axis,"Eutelsat-Qatar Firm Taps Loral for Satellite, Space News, 19 July 2010, Page 3","Ariane 5 Lofts Eutelsat 25B/Es'hail-1 & GSAT-7 Satellites, Space News, 28/08/13"
Anik G1,,SS/Loral,Telesat,Proton,10 Jun,2010,"$70,231",06/01/10,13 Apr,04/15/13,34 ,12 Sep,09/15/12,27 ,1 ,,,$155,$155,,$100,$31,,$286,FFP,"4,905","2,207",,GEO,107.3ºW,,,,24,3,28,,16 Extended Ku Canada,24C/24Ku South America,15.0,LS 1300,3 axis,"Telesat Orders Anik G1 satellite from space syst/Loral, Press Release, 1 Jun 10",
Laosat 1,,CAST,Laos,LM 3B/E,10 Mar,2010,"$32,895",03/05/10,15 Nov,11/21/15,68 ,,,,1 ,,,$125,$125,$29,$80,$20,$5,$259,,"5,200","3,800","3,500",GEO,128.5ºE,,,,14,,8,,,Lao Peoples Democratic R,15.0,DFH-4,,"News Breaks - China To Launch Laotian Satellite"", AW&ST Mar. 15, 2010, p. 20.",
Azerspace 1,Africasat-1,Orbital,Azerbaijan,Ariane 5,10 May,2010,"$76,495",5/27/10,13 Feb,02/07/13,32 ,12 Jun,06/15/12,24 ,1 ,$100,$10,$110,$110,$16,$93,$27,,$246,,"3,238","1,438","5,000",GEO,46ºE,,,,24,,12,,16 C & Ku band xponders,,20.0,Star 2,3 axis,"""Azerbaijan.Acquiring the Necessary Resources (Satellite)"" Satnews Daily 5/2/11",
Intelsat 27,IS-27,Boeing,Intelsat,Sea Launch,10 May,2010,"$91,317",05/15/10,13 Feb,02/01/13,32 ,12 Dec,12/31/12,31 ,1 ,,,$244,$244,,$129,$33,,$406,,"6,215","2,672","10,000",GEO,55.5ºW,20,,,20,,19,,20 x 25kHz UHF/C/Ku,government apps,15.0,BS 702B,3 axis,"""Intelsat starts construction of Intelsat 27"", talk satellite Weekly Newsletter",
ABS 2,ST-3,SS/Loral,Asia Broadca,Ariane 5,10 Oct,2010,"$58,780",10/15/10,14 Feb,02/06/14,40 ,13 Oct,10/15/13,36 ,1 ,,,$160,$160,,$125,$34,,$319,,"6,330","2,722","16,700",GEO,075ºE,,,,32,,51,6,89 C/Ku/Ka-band,10 beams for Asia,15.0,SSL 1300,3 Axis,"Delayed 1 yr. ""ABS Orders ABS-2 Satellite from SS/L"" Space News 18 Oct 10 P. 9",
Jabiru-1,,LockMart,NewSat,Ariane5ECA,11 Dec,2011,"$102,264",12/15/11,15 May,Default,41 ,14 Jun,6/15/14,24 ,1 ,,,$271,$271,$29,$140,$41,$27,$508,,"5,880","2,650","14,000",GEO,88ºE,,,1,,,18,50,50 Ka-band Somalia,"Middle East, India",15.0,A2100AXS,3 axis,"""NewSat pland $200M equity raising"" Australian Financial Review, 17 Jun 2012","NewSat Bankruptcy is Costly for US Ex-Im Bank, Space News, 28 May 15"
WGS 8,WGS Block II,Boeing,USAF,Atlas/Delt,11 Dec,2011,"$118,000",12/27/11,,,,,,,1 ,,,$354,$354,,,,,$354,FFP,"5,987","3,000","11,000",GEO,,,,,,8,,10,X & Ka-band phased array,Shaped Spot & Earth Cover,14.0,BSS-702,3 axis,"""Contract Option awarded for WGS Satellite 8"", APSPC Release 021211, 27 Dec 11",
SES 08,,Orbital,SES Worldsky,Falcon 9,11 Feb,2011,"$81,784",02/18/11,13 Dec,12/03/13,34 ,13 Feb,02/15/13,24 ,1 ,,,$110,$110,,$85,$21,,$216,,"3,128","1,345","6,000",GEO,95ºE,,,,,,24,,33 Equivalent Ku-band DTH,South Asia Indo-China,15.0,Star 2.4,,"""Orbital Awarded Contract for SES-8 Communications Satellite by SES World Skies""",Space Daily 18 Feb 11
Thaicom 6,,Orbital,Thaicom,Falcon 9,11 Jun,2011,"$74,788",05/31/11,13 Jun,06/15/15,25 ,13 Jun,06/15/13,25 ,1 ,,,$97,$97,,$45,$18,,$160,,"3,016","1,297","3,700",GEO,78.5ºE,,,,18,,8,,18C/8Ku-band,SE Asia,15.0,Star,3 axis,"""Thaicom to order satellite from Orbital, Launch from SpaceX"" Space News 6 Jun11",Page 10
Turksat 4AB,,MELCO,Turkey Trans,Proton,11 Mar,2011,"$64,269",03/05/11,15 Oct,10/16/15,55 ,13 Dec,12/15/13,33 ,2 ,,,$268,$134,,$210,$53,$40,$571,FFP,"4,850","2,085",,GEO,42º50ºE,,,,35,,28,2,"65+ C, X, Ku, Ka-band",Turkey,15.0,DS2000,3 Axis,"""Melco Land Two-satellite Contract with Turkey"" Space News 14 Mar 11 p. 10","""Signing Ceremony for Turksat 4A & 4B communication satellites"" www.turksat.com"
Asiasat 6,Thaicom 7,SS/Loral,Asiasat,Falcon 9,11 Nov,2011,"$69,069",11/11/11,14 Sep,9/06/14,34 ,14 May,05/15/14,30 ,1 ,$104,$11,$115,$115,,$40,$14,,$169,FFP,"3,700","1,665",,GEO,120ºE,,,,28,,,,28 high-power C-band,"Asia, MidEast, Australia",15.0,LS 1300,3 Axis,"""Asiasat Selects Space Systems/Loral to Provide Two Communication Satellites""",Press Release 11 Nov 2011
Asiasat 8,,SS/Loral,Asiasat,Falcon 9,11 Nov,2011,"$58,305",11/11/11,14 Aug,08/05/14,33 ,14 Jun,06/15/14,31 ,1 ,$108,$11,$119,$119,,$40,$14,,$173,FFP,"4,535","2,041",,GEO,,,,,,,24,1,24 Ku 210W & Ka-band,"Asia, MidEast, Australia",15.0,LS 1300,3 Axis,"""Equity Question Only Snag for Loral's Plan to Spin Off SS/L"" Space News 11Nov11",
Intelsat3031,DLA 1/2,SS/Loral,Intelsat,Proton ILS,11 Sep,2011,"$73,271",09/08/11,14 Oct,10/16/14,37 ,14 Nov,11/15/14,38 ,2 ,$450,$50,$500,$250,,,,,$500,FFP,"6,320","3,412","20,000",GEO,95ºW,,,,10,,72,,DirecTV lease for DTH,Latin America,15.0,RAD750,3 Axis,"""Intelsat Buys Two Satellite for Lease to DirecTV in $1B Deal"" Space News 8Sep11",
NBN 1A 1B,,SS/Loral,NBN Co.,Ariane 5,12 Feb,2012,"$117,813",02/08/12,15 Sep,09/30/15,31 ,15 Aug,08/15/15,30 ,2 ,$607,$61,$668,$334,$215,$280,$104,$395,"$2,147",FFP,"6,300","2,835",,GEO,,,,,,,,X,High throughput Ka-band,Australia Aus$2B (15 yr),15.0,LS 1300,3 Axis,"""SS/L to Build NBN 1A, 1B Satellites for Australia"", Satellite Today 9 Feb 12","""National Broadband Network to go into Orbit"", Parliament Media Release 8 Feb 12"
"ABS 3 A,B",,Boeing,ABS,Falcon 9,12 Mar,2012,"$66,667",03/13/12,15 Dec,2/15/15,35 ,14 Dec,12/31/14,33 ,2 ,,,$200,$100,,$65,,,$265,FFP,"1,800","1,500","8,000",GEO,75ºE,,,,28,,16,,40 C & Ku-band or 48 Ku,Asia,15.0,BS-702SP,3 axis,"""ABS, Satmex Banding Together for Boeing Satellite Buy"" Space News 3/19/12 p 5",All Electric propulsion
Satmex 07+,E 115 West B,Boeing,Satmex,Falcon 9,12 Mar,2012,"$66,667",03/13/12,15 Mar,3/31/14,36 ,14 Dec,12/31/14,33 ,2 ,,,$200,$100,,$65,,,$265,FFP,"1,800","1,500","8,000",GEO,,,,,12,,34,,40 C & Ku-band,"Mexico, Latin America",15.0,BS-702SP,3 axis,"""Boing to build 4 Satellites for Asia Broadcast & Satmex Team"" Press 3/13/12",All electric propulsion System
SGDC-1,Sat Defense,ThalesAS,Visiona,Ariane5ECA,13 Aug,2013,"$60,741",08/12/13,16 Feb,02/15/16,30 ,16 Feb,02/15/16,30 ,1 ,$148,$16,$164,$164,,$124,$26,,$314,FFP,"6,000","2,700",,GEO,75ºW,,,,,5,,x,X & Ka-band mil & civil,South America spot beams,,SB4000,3 axis,"""Thales Alenia Space Wins Brazilian Satellite Contract"" Space News 26 Aug 13",
GSAT 15,,ISRO,ISRO,Ariane 5,13 Jul,2013,"$72,331",07/13/13,15 Nov,11/10/15,28 ,,,,1 ,,,$103,$103,,$40,,,$143,,"3,164","1,424","6,200",GEO,026ºE,,,,,,24,,24 Ku & L-band GPS Augmen,India,12.0,,3 axis,,
Jupiter 2,Echostar XIX,SS/Loral,EchostarHNS,Atlas 5,13 Mar,2013,"$119,929",03/21/13,16 Dec,12/15/16,44 ,16 Jun,06/15/16,39 ,1 ,,,$340,$340,,,,,$340,FFP,"6,300","2,835",,GEO,109ºW,,,,,,,99,"120 Ka-band, 150 Gbps",North America,15.0,LS-1300,3 axis,"""Hughes/Echostar Orders Jupiter 2 Broadband Craft"", Space News, 21 Mar 2013",
Viasat-2,,Boeing,Viasat,Falcon Hvy,13 May,2013,"$130,564",05/17/13,17 Mar,03/15/17,46 ,16 Jun,06/15/16,36 ,1 ,$358,$38,$396,$396,$85,$100,$45,,$625, FFP,"6,740","3,033",,GEO,70ºW(?),,,,,,,,2.5 x Capacity Viasat-1,North America N.Atlantic,15.0,702HP,3 Axis,"""Viasat-2 First of its Kind Design Will Enable Geographic"" Space News 17 May 13","""ViaSat Puts a Price Tag on ITS Boeing-built Behemoth"" Space News 27 May 13 p.3"
Inmarsat 5D,GlobalXpress,Boeing,Inmarsat,Proton M,13 Oct,2013,"$66,048",10/14/13,16 Dec,12/15/16,37 ,spare,spare,,1 ,,,$235,$235,,,,,$235,,"6,300","3,558","12,000",GEO,TBD,,,,,,,89,161 Ka tps Mobile broadba,global spare,15.0,BS-702HP,3-axis,"""Inmarsat Orders Global Xpress Spare from Boeing"", Space News 10/14/13 p. 8",
Telstar 12V,VANTAGE,Astrium,Telesat,H2A Japan,13 Sep,2013,"$62,791",09/09/13,15 Nov,11/24/15,26 ,15 Dec,12/15/15,27 ,1 ,,,$135,$135,,$105,$24,,$264,,"4,800","2,150","11,000",GEO,15ºW,,,,,,52,X,52 Ku-36 MHz 4Gbps 8 spot,HTS 4 reg Brazil E Africa,15.0,E3000,3 axis,"Telesat orders High Throughput Satellite to Replace Telstar 12"" Press Rel 9/9/13",Telstar 12 VANTAGE satellite built by Airbus set for launch 24 Nov 23 Nov 15
BRIsat,,SSL,Bank Rakyat,Ariane,14 Apr,2014,"$82,540",04/28/14,16 Jun,06/15/16,28 ,06/15/,16,28 ,1 ,,,$130,$130,,$80,$20,,$230,,"3,500","1,575",,GEO,150.5ºE,,,,X,,X,,C & Ku-band Banking,"SE Asia, Indonesia",15.0,SSL 1300,3 Axis,"""SSL Selected to Provide Satellite to Indonesian Bank"", Press Rel. 04/28/14",
Thaicom 8,IPStar 2,Orbital,THAICOM,Falcon 9,14 Apr,2014,"$64,516",04/30/14,16 Mar,03/15/16,24 ,16 Mar,03/15/16,24 ,1 ,,,$90,$90,,$72,$16,,$178,,"3,100","1,395","5,500",GEO,119.5ºE,,,,,,24,,24 Ku-band,Thailand,15.0,Star 2.3,3 Axis,"""Investment Approval for Thaicom 8"" THAICOM Press Release 29 Apr 14","""Orbital to Build, SpaceX to Launch, Thaicom8"" Space News 30 Apr 14"
Hylas 4,,Orbital,Avanti,Ariane 5,14 Aug,2014,"$75,556",8/12/14,17 Apr,4/15/17,20 ,17 Apr,4/15/17,20 ,1 ,,,$136,$136,,$134,$28,,$298,FFP,"4,000","1,800","8,000",GEO,31ºE,,,,,,,X,,"Middle East, N. Africa",,Geostar3,3 axis,"Orbital Selected by Avanti to Build HYLAS 4 High-Throughput, Press 8/12/14","""Hylas Financing Package Covers Cost of New Satellite"", Space News 18 Aug 15"
Telkom 3S,Telkom 3R,ThalesAS,PT Telkom,Ariane,14 Jul,2014,"$126,984",07/22/14,16 Dec,12/22/16,30 ,16 Dec,12/22/16,30 ,1 ,,,$200,$200,,,,,$200,,"3,500","1,575","5,600",GEO,118ºE,,,,32,,10,,24C/8ExtendedC/10Ku,"Indonesia, SE Asia",15.0,SB4000B2,3 axis,"""Thales to Build Telkom-3S for Indonesian Operator"", Space News 28 July 14, p 8",
